Handle,Title,Body HTML,Vendor,Product Type,Tags,Published,Variant SKU,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Weight,Variant Weight Unit,Image Src,Image Position,Image Alt Text
Modern-desk-lamp-new-import-928,Modern Desk Lamp-928,<p>A sleek and contemporary desk lamp with adjustable brightness settings. Perfect for your home office.</p>-928,LightCraft-928,Lighting-928,"desk,lamp,office,modern-928",True-928,MDL-001-928,39.99,49.99,True-928,True-928,shopify-928,25-928,deny-928,manual-928,1.2-928,kg-928,https://images.unsplash.com/photo-1534109287734-9595ff4428d5-928,1-928,Modern desk lamp with adjustable arm-928
Ergonomic-office-chair-new-929,Ergonomic Office Chair-929,<p>Premium ergonomic office chair with lumbar support and adjustable height. Designed for maximum comfort during long work hours.</p>-929,ComfortSeating-929,Furniture-929,"chair,office,ergonomic,furniture-929",True-929,EOC-001-929,189.99,229.99,True-929,True-929,shopify-929,12-929,deny-929,manual-929,15.5-929,kg-929,https://images.unsplash.com/photo-1505797149-35ebcb016d74-929,1-929,Ergonomic office chair with mesh back-929
Wireless-bluetooth-speaker-new-930,Wireless Bluetooth Speaker-930,<p>Portable Bluetooth speaker with superior sound quality and 12-hour battery life. Waterproof design makes it perfect for outdoor use.</p>-930,SoundWave-930,Electronics-930,"speaker,bluetooth,wireless,audio-930",True-930,WBS-001-930,79.99,99.99,True-930,True-930,shopify-930,30-930,deny-930,manual-930,0.5-930,kg-930,https://images.unsplash.com/photo-1589003077984-894e133dabab-930,1-930,Portable Bluetooth speaker-930
Premium-yoga-mat-new-931,Premium Yoga Mat-931,<p>Extra thick yoga mat made from eco-friendly materials. Non-slip surface provides excellent grip during practice.</p>-931,ZenFitness-931,Fitness-931,"yoga,mat,fitness,exercise-931",True-931,PYM-001-931,45.99,59.99,True-931,True-931,shopify-931,40-931,deny-931,manual-931,1.8-931,kg-931,https://images.unsplash.com/photo-1518611012118-696072aa579a-931,1-931,Premium yoga mat-931
Stainless-steel-water-bottle-new-932,Stainless Steel Water Bottle-932,<p>Double-walled insulated water bottle that keeps drinks cold for 24 hours or hot for 12 hours. BPA-free and environmentally friendly.</p>-932,EcoHydrate-932,Kitchen-932,"water bottle,stainless steel,eco-friendly,hydration-932",True-932,SSWB-001-932,24.99,29.99,True-932,True-932,shopify-932,50-932,deny-932,manual-932,0.35-932,kg-932,https://images.unsplash.com/photo-1602143407151-7111542de6e8-932,1-932,Stainless steel water bottle-932
Handcrafted-ceramic-mug-new-933,Handcrafted Ceramic Mug-933,"<p>Artisan-made ceramic mug, perfect for your morning coffee or tea. Each piece is unique with slight variations in the glaze.</p>-933",ArtisanWares-933,Kitchen-933,"mug,ceramic,handcrafted,coffee-933",True-933,HCM-001-933,18.99,24.99,True-933,True-933,shopify-933,20-933,deny-933,manual-933,0.4-933,kg-933,https://images.unsplash.com/photo-1577937927533-addefece22c3-933,1-933,Handcrafted ceramic mug-933
Organic-cotton-t-shirt-new-934,Organic Cotton T-Shirt-934,<p>Ultra-soft organic cotton t-shirt. Ethically sourced and manufactured. Classic fit suitable for everyday wear.</p>-934,EcoClothing-934,Apparel-934,"t-shirt,organic,cotton,clothing-934",True-934,OCTS-001-934,29.99,34.99,True-934,True-934,shopify-934,30-934,deny-934,manual-934,0.2-934,kg-934,https://images.unsplash.com/photo-1581655353564-df123a1eb820-934,1-934,Organic cotton t-shirt-934
Smart-fitness-tracker-new-935,Smart Fitness Tracker-935,"<p>Advanced fitness tracker with heart rate monitoring, sleep tracking, and smartphone notifications. Water-resistant design for all-day wear.</p>-935",TechFit-935,Electronics-935,"fitness,tracker,smartwatch,health-935",True-935,SFT-001-935,89.99,109.99,True-935,True-935,shopify-935,15-935,deny-935,manual-935,0.05-935,kg-935,https://images.unsplash.com/photo-1575311373937-040b8e1fd5b6-935,1-935,Smart fitness tracker-935
Premium-coffee-beans-new-936,Premium Coffee Beans-936,<p>Freshly roasted specialty coffee beans sourced from sustainable farms. Rich flavor profile with notes of chocolate and caramel.</p>-936,BeanMaster-936,Food-936,"coffee,beans,organic,gourmet-936",True-936,PCB-001-936,14.99,17.99,True-936,True-936,shopify-936,50-936,deny-936,manual-936,0.25-936,kg-936,https://images.unsplash.com/photo-1559056199-641a0ac8b55e-936,1-936,Premium coffee beans package-936
Minimalist-wall-clock-new-937,Minimalist Wall Clock-937,<p>Elegant wall clock with a minimalist design. Silent movement ensures no ticking noise. Perfect for any modern interior.</p>-937,ModernDecor-937,Home Decor-937,"clock,wall,minimalist,home decor-937",True-937,MWC-001-937,49.99,59.99,True-937,True-937,shopify-937,18-937,deny-937,manual-937,0.8-937,kg-937,https://images.unsplash.com/photo-1507985622960-4ce3dce7c7a9-937,1-937,Minimalist wall clock-937
